TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
msdb,dbo,sysmaintplan_log,source_server_name,8,,YES,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysdatatypemappings,source_type,4,,NO,nvarchar,128,256,,,,,,,UNICODE,,,Latin1_General_CI_AI,,,
msdb,dbo,sysdatatypemappings,source_version,3,,YES,nvarchar,128,256,,,,,,,UNICODE,,,Latin1_General_CI_AI,,,
msdb,dbo,sysdtslog90,sourceid,6,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,sysssislog,sourceid,6,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,vw_autoadmin_health_status,Sql errors,4,,YES,varchar,30,30,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysjobhistory,sql_message_id,5,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysjobhistory,sql_severity,6,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,MSdatatype_mappings,sql_type,2,,NO,nvarchar,128,256,,,,,,,UNICODE,,,Latin1_General_CI_AI,,,
msdb,dbo,sysutility_ucp_instances,SqlCharSet,52,,YES,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,SqlCharSet,52,,YES,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,SqlCharSetName,53,,YES,nvarchar,32,64,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_instances,SqlCharSetName,53,,YES,nvarchar,32,64,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_instances,SqlDomainGroup,54,,YES,nvarchar,260,520,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,SqlDomainGroup,54,,YES,nvarchar,260,520,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysdac_history_internal,sqlscript,13,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_instances,SqlSortOrder,55,,YES,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,SqlSortOrder,55,,YES,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,SqlSortOrderName,56,,YES,nvarchar,64,128,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_instances,SqlSortOrderName,56,,YES,nvarchar,64,128,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,MSdbms_map,src_datatype_id,4,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,MSdbms_map,src_dbms_id,2,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,MSdbms_map,src_len_max,6,(NULL),YES,bigint,,,19,10,0,,,,,,,,,,
msdb,dbo,MSdbms_map,src_len_min,5,(NULL),YES,bigint,,,19,10,0,,,,,,,,,,
msdb,dbo,MSdbms_map,src_nullable,11,(NULL),YES,bit,,,,,,,,,,,,,,,
msdb,dbo,MSdbms_map,src_prec_max,8,(NULL),YES,bigint,,,19,10,0,,,,,,,,,,
msdb,dbo,MSdbms_map,src_prec_min,7,(NULL),YES,bigint,,,19,10,0,,,,,,,,,,
msdb,dbo,MSdbms_map,src_scale_max,10,(NULL),YES,bigint,,,19,10,0,,,,,,,,,,
msdb,dbo,MSdbms_map,src_scale_min,9,(NULL),YES,bigint,,,19,10,0,,,,,,,,,,
msdb,dbo,syspolicy_policy_execution_history,start_date,3,,NO,datetime,,,,,,3,,,,,,,,,
msdb,dbo,syspolicy_policy_execution_history_internal,start_date,3,(getdate()),NO,datetime,,,,,,3,,,,,,,,,
msdb,dbo,syssubsystems,start_entry_point,6,,YES,nvarchar,30,60,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysjobactivity,start_execution_date,6,,YES,datetime,,,,,,3,,,,,,,,,
msdb,dbo,sysjobs,start_step_id,6,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysjobs_view,start_step_id,6,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysmaintplan_logdetail,start_time,8,,YES,datetime,,,,,,3,,,,,,,,,
msdb,dbo,sysmaintplan_log,start_time,4,,YES,datetime,,,,,,3,,,,,,,,,
msdb,dbo,syscollector_execution_log,start_time,5,,NO,datetime,,,,,,3,,,,,,,,,
msdb,dbo,dm_hadr_automatic_seeding_history,start_time,1,,NO,datetime,,,,,,3,,,,,,,,,
msdb,dbo,syscollector_execution_log_internal,start_time,5,,NO,datetime,,,,,,3,,,,,,,,,
msdb,dbo,sysdbmaintplan_history,start_time,10,,YES,datetime,,,,,,3,,,,,,,,,
msdb,dbo,syscollector_execution_log_full,start_time,6,,YES,datetime,,,,,,3,,,,,,,,,
msdb,dbo,sysssislog,starttime,8,,NO,datetime,,,,,,3,,,,,,,,,
msdb,dbo,sysdtslog90,starttime,8,,NO,datetime,,,,,,3,,,,,,,,,
msdb,dbo,sysutility_ucp_databases,state,13,,YES,tinyint,,,3,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_databases_stub,state,14,,YES,tinyint,,,3,10,0,,,,,,,,,,
msdb,dbo,backupfile,state,14,,YES,tinyint,,,3,10,0,,,,,,,,,,
msdb,dbo,autoadmin_master_switch,state,1,,NO,bit,,,,,,,,,,,,,,,
msdb,dbo,backupfile,state_desc,15,,YES,nvarchar,64,128,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,systargetservers,status,7,CREATE DEFAULT default_one AS 1,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syscollector_execution_log_internal,status,9,,NO,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,smart_backup_files,status,20,,YES,char,1,1,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syscollector_execution_log_full,status,4,,YES,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,sysdownloadlist,status,10,CREATE DEFAULT default_zero AS 0,NO,tinyint,,,3,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,Status,57,,YES,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,syscollector_execution_log,status,9,,NO,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_instances,Status,57,,YES,smallint,,,5,10,0,,,,,,,,,,
msdb,dbo,sysjobhistory,step_id,3,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysjobsteps,step_id,2,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysjobsteps,step_name,3,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysjobhistory,step_name,4,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysjobsteps,step_uid,26,,YES,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,sysjobstepslogs,step_uid,6,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,restorehistory,stop_at,10,,YES,datetime,,,,,,3,,,,,,,,,
msdb,dbo,restorehistory,stop_at_mark_name,12,,YES,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,restorehistory,stop_before,13,,YES,bit,,,,,,,,,,,,,,,
msdb,dbo,syssubsystems,stop_entry_point,8,,YES,nvarchar,30,60,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysjobactivity,stop_execution_date,9,,YES,datetime,,,,,,3,,,,,,,,,
msdb,dbo,vw_autoadmin_health_status,Storage errors,3,,YES,varchar,30,30,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmail_faileditems,subject,6,,YES,nvarchar,255,510,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmail_unsentitems,subject,6,,YES,nvarchar,255,510,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmail_sentitems,subject,6,,YES,nvarchar,255,510,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmail_allitems,subject,6,,YES,nvarchar,255,510,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmail_mailitems,subject,6,,YES,nvarchar,255,510,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmaintplan_subplans,subplan_description,3,,YES,nvarchar,512,1024,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmaintplan_subplans,subplan_id,1,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,sysmaintplan_log,subplan_id,3,,YES,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,sysmaintplan_log,subplan_name,10,,YES,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmaintplan_subplans,subplan_name,2,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syssubsystems,subsystem,2,,NO,nvarchar,40,80,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysjobsteps,subsystem,4,,NO,nvarchar,40,80,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syssubsystems,subsystem_dll,4,,YES,nvarchar,255,510,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syssubsystems,subsystem_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysproxyloginsubsystem_view,subsystem_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysproxysubsystem,subsystem_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysdbmaintplan_history,succeeded,7,((1)),NO,bit,,,,,,,,,,,,,,,
msdb,dbo,sysmaintplan_log,succeeded,6,,YES,bit,,,,,,,,,,,,,,,
msdb,dbo,sysmaintplan_logdetail,succeeded,13,,YES,bit,,,,,,,,,,,,,,,
msdb,dbo,sysoperators,sunday_pager_end_time,15,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysoperators,sunday_pager_start_time,14,,NO,int,,,10,10,0,,,,,,,,,,
